id,type,score
1,A: CrossHaptics,6
1,C: Audio based,3
2,C: Audio based,7
2,A: CrossHaptics,7
3,A: CrossHaptics,7
3,C: Audio based,7
4,C: Audio based,4
4,A: CrossHaptics,7
5,C: Audio based,5
5,A: CrossHaptics,5
6,C: Audio based,7
6,A: CrossHaptics,6
7,C: Audio based,6
7,A: CrossHaptics,5
8,A: CrossHaptics,6
8,C: Audio based,3
9,A: CrossHaptics,4
9,C: Audio based,3
10,A: CrossHaptics,5
10,C: Audio based,3
11,A: CrossHaptics,5
11,C: Audio based,6
